Motor,Prop,U,W
Scorpion SII-3026-710KV (V2),13x4E,18.5,860.0
Scorpion SII-3026-890KV (V2),13x4E,11.1,485.2
Scorpion SII-4020-630KV,13x4E,22.2,1266.1
Scorpion SII-4035-380KV,13x6,29.6,1169.2
Scorpion SII-2215-900KV (V2),13x6.5E,7.4,81.7
Scorpion SII-3032-690KV (V2),13x6.5,10.5,243.92
Scorpion SII-3032-690KV (V2),13x6.5,14,559.02
Scorpion SII-3020-890KV (V2),13x6.5E,11.1,474.9
Scorpion SII-3026-710KV (V2),13x6.5E,14.8,728.5
Scorpion SII-3026-890KV (V2),13x6.5E,11.1,755.7
Scorpion SII-4020-540KV,13x6.5E,22.2,1287.2
Scorpion SII-4020-630KV,13x6.5E,14.8,634.7
Scorpion SII-4020-630KV,13x6.5E,18.5,1201.9
Scorpion SII-4020-630KV,13x6.5E,22.2,2099.9
Scorpion SII-3032-690KV (V2),13x8,10.5,267.65
Scorpion SII-3032-690KV (V2),13x8,14,611.38
Scorpion SII-3032-690KV (V2),13x8,17.5,1171.6
Scorpion SII-2215-900KV (V2),13x8E,7.4,87.5
Scorpion SII-3026-710KV (V2),13x8E,11.1,363.5
Scorpion SII-3026-710KV (V2),13x8E,14.8,786.1
Scorpion SII-4020-540KV,13x8E,18.5,807.3
Scorpion SII-4020-540KV,13x8E,22.2,1364.0
Scorpion SII-4020-630KV,13x8E,14.8,664.0
Scorpion SII-4020-630KV,13x8E,18.5,1397.4
Scorpion SII-3032-690KV (V2),14x10,10.5,396.27
Scorpion SII-3032-690KV (V2),14x10,14,885.22
Scorpion SII-2215-900KV (V2),14x10E,7.4,100.8
Scorpion SII-3026-710KV (V2),14x10E,11.1,435.1
Scorpion SII-4020-420KV,14x10E,22.2,782.1
Scorpion SII-4020-540KV,14x10E,18.5,1003.4
Scorpion SII-4020-540KV,14x10E,22.2,1655.4
Scorpion SII-4020-630KV,14x10E,14.8,866.6
Scorpion SII-4020-630KV,14x10E,18.5,1611.3
Scorpion SII-2215-900KV (V2),14x12E,7.4,122.4
Scorpion SII-3026-710KV (V2),14x12E,11.1,595.7
Scorpion SII-4020-420KV,14x12E,18.5,681.7
Scorpion SII-4020-420KV,14x12E,22.2,1113.8
Scorpion SII-4020-540KV,14x12E,14.8,762.8
Scorpion SII-4020-540KV,14x12E,18.5,1374.1
Scorpion SII-4020-630KV,14x12E,14.8,1219.5
Scorpion SII-4020-630KV,14x12E,18.5,2294.7
Scorpion SII-3032-690KV (V2),14x7,10.5,313.43
Scorpion SII-4025-330KV,14x7,29.6,1003.4
Scorpion SII-4035-380KV,14x7,29.6,1790.8
Scorpion SII-2215-900KV (V2),14x7E,7.4,91.8
Scorpion SII-3026-710KV (V2),14x7E,11.1,409.4
Scorpion SII-3026-710KV (V2),14x7E,14.8,880.1
Scorpion SII-4020-540KV,14x7E,18.5,949.3
Scorpion SII-4020-540KV,14x7E,22.2,1636.3
Scorpion SII-4020-630KV,14x7E,14.8,774.5
Scorpion SII-4020-630KV,14x7E,18.5,1591.0
Scorpion SII-2215-900KV (V2),14x8.5E,7.4,99.5
Scorpion SII-3026-710KV (V2),14x8.5E,11.1,424.8
Scorpion SII-4020-540KV,14x8.5E,18.5,974.0
Scorpion SII-4020-540KV,14x8.5E,22.2,1640.6
Scorpion SII-4020-630KV,14x8.5E,14.8,838.2
Scorpion SII-4020-630KV,14x8.5E,18.5,1598.7
Scorpion SII-3032-690KV (V2),15x10,10.5,502.32
Scorpion SII-3032-690KV (V2),15x10,14,1069.9
Scorpion SII-4025-330KV,15x10,29.6,1974.32
Scorpion SII-2215-900KV (V2),15x10E,7.4,114.8
Scorpion SII-3026-710KV (V2),15x10E,11.1,592.3
Scorpion SII-4020-420KV,15x10E,18.5,696.6
Scorpion SII-4020-420KV,15x10E,22.2,1174.1
Scorpion SII-4020-540KV,15x10E,14.8,779.6
Scorpion SII-4020-540KV,15x10E,18.5,1459.2
Scorpion SII-4020-630KV,15x10E,14.8,1254.9
Scorpion SII-4020-630KV,15x10E,18.5,2439.2
Scorpion SII-2215-900KV (V2),15x4E,7.4,80.6
Scorpion SII-3020-890KV (V2),15x4E,11.1,474.2
Scorpion SII-3026-710KV (V2),15x4E,14.8,725.6
Scorpion SII-3026-890KV (V2),15x4E,11.1,758.3
Scorpion SII-4020-540KV,15x4E,22.2,1280.1
Scorpion SII-4020-630KV,15x4E,14.8,629.2
Scorpion SII-4020-630KV,15x4E,18.5,1241.4
Scorpion SII-2215-900KV (V2),15x6E,7.4,95.7
Scorpion SII-3026-710KV (V2),15x6E,11.1,424.4
Scorpion SII-4020-420KV,15x6E,22.2,757.1
Scorpion SII-4020-540KV,15x6E,18.5,970.6
Scorpion SII-4020-540KV,15x6E,22.2,1668.7
Scorpion SII-4020-630KV,15x6E,14.8,838.4
Scorpion SII-4020-630KV,15x6E,18.5,1633.8
Scorpion SII-3032-690KV (V2),15x8,10.5,433.55
Scorpion SII-3032-690KV (V2),15x8,14,963.76
Scorpion SII-4025-330KV,15x8,29.6,1364.56
Scorpion SII-4035-380KV,15x8,29.6,2350.24
Scorpion SII-2215-900KV (V2),15x8E,7.4,102.4
Scorpion SII-3026-710KV (V2),15x8E,11.1,460.2
Scorpion SII-4020-420KV,15x8E,22.2,821.8
Scorpion SII-4020-540KV,15x8E,18.5,1043.4
Scorpion SII-4020-540KV,15x8E,22.2,1747.4
Scorpion SII-4020-630KV,15x8E,14.8,899.2
Scorpion SII-4020-630KV,15x8E,18.5,1707.4
Scorpion SII-3032-690KV (V2),16x10,10.5,613.2
Scorpion SII-4025-330KV,16x10,29.6,1974.32
Scorpion SII-4020-420KV,16x10E,18.5,815.3
Scorpion SII-4020-420KV,16x10E,22.2,1380.8
Scorpion SII-4020-540KV,16x10E,14.8,910.2
